Label,Notation,Parent Notation,Sort Priority
All,all,,0
Hotel b b,hotel-b-b,,1
Leased property,leased-property,,2
Nihe hostels,nihe-hostels,,3
Private single lets,private-single-lets,,4
Voluntary sector hostels,voluntary-sector-hostels,,5
Total,total,,6
Bespoke facility of temporary accommodation,bespoke-facility-of-temporary-accommodation,,7
Crash voluntary sector,crash-voluntary-sector,,8
Hotel b b leased property,hotel-b-b-leased-property,,9
