Namespace,Label,Path,Qb Property Type,Parent Property,Source,Range,Comment
homelessness,Sex,dimension/sex,qb:DimensionProperty,,,http://gss-data.org.uk/def/homelessness/concept-scheme/sex,Sex
homelessness,Age,dimension/age,qb:DimensionProperty,,,http://gss-data.org.uk/def/homelessness/concept-scheme/age,Age
homelessness,Notes,attribute/notes,qb:AttributeProperty,,,http://gss-data.org.uk/def/homelessness/concept-scheme/notes,Notes
homelessness,Percentage of Breakdown,attribute/percentage-of-breakdown,qb:AttributeProperty,,,http://gss-data.org.uk/def/homelessness/concept-scheme/percentage-of-breakdown,Percentage amount this observation occupies of the total of relevant observations
