Label,Notation,Parent Notation,Sort Priority
W06000001,w06000001,,0
W06000002,w06000002,,1
W06000003,w06000003,,2
W06000004,w06000004,,3
W06000005,w06000005,,4
W06000006,w06000006,,5
W06000023,w06000023,,6
W06000008,w06000008,,7
W06000009,w06000009,,8
W06000010,w06000010,,9
W06000011,w06000011,,10
W06000012,w06000012,,11
W06000013,w06000013,,12
W06000014,w06000014,,13
W06000016,w06000016,,14
W06000024,w06000024,,15
W06000018,w06000018,,16
W06000019,w06000019,,17
W06000020,w06000020,,18
W06000021,w06000021,,19
W06000022,w06000022,,20
W06000015,w06000015,,21
W92000004,w92000004,,22
